Ticker,Company
5238.KL,AAX
2836.KL,CARLSBG
4847.KL,EPICON
4707.KL,NESTLE
3255.KL,HEIM
5250.KL,SEM
7100.KL,UCHITEC
7285.KL,TOMYPAK
5031.KL,TIMECOM
9407.KL,PARAGON
4162.KL,BAT
5248.KL,BAUTO
5078.KL,M&G
7231.KL,WELLCAL
2283.KL,ZELAN
7090.KL,AHEALTH
5259.KL,EATECH
7078.KL,AZRB
7195.KL,BNASTRA
7176.KL,TPC
6351.KL,AMWAY
0265.KL,INFOM
3006.KL,NPS
0253.KL,INFOTEC
5000.KL,HUMEIND
3013.KL,TOPVISN
5296.KL,MRDIY
7252.KL,TEOSENG
1818.KL,BURSA
3005.KL,MHCARE
5166.KL,CYBERE
0151.KL,KGB
3027.KL,MMIS
3050.KL,SUNMOW
5024.KL,HUPSENG
5209.KL,GASMSIA
0279.KL,SYNERGY
0106.KL,REXIT
4596.KL,SAPRES
5649.KL,GPHAROS
0157.KL,FOCUSP
0099.KL,SCICOM
0260.KL,PTRB
3049.KL,SKHAWK
3040.KL,JISHAN
3054.KL,SNOWFIT
0212.KL,SDS
2089.KL,UTDPLT
3047.KL,LSH
0045.KL,SSB8
0277.KL,CLOUDPT
0276.KL,ADB
3038.KL,ICTZONE
5318.KL,DXN
5246.KL,WPRTS
3037.KL,AURORA
3032.KL,ASTRA
0138.KL,MYEG
9172.KL,FPI
5149.KL,TAS
7014.KL,YLI
5216.KL,DSONIC
6139.KL,TAKAFUL
0208.KL,GREATEC
0268.KL,L&PBHD
4863.KL,TM
0251.KL,SFPTECH
0002.KL,KOTRA
5151.KL,HEXTAR
5271.KL,PECCA
3024.KL,CETECH
0222.KL,OPTIMAX
5301.KL,CTOS
4197.KL,SIME
7035.KL,CCK
3046.KL,DYNAFNT
9431.KL,SJC
0039.KL,GFM
3018.KL,SUPREME
5309.KL,ITMAX
3015.KL,MFGROUP
0217.KL,PWRWELL
5027.KL,KMLOONG
6742.KL,YTLPOWR
0273.KL,VLB
2828.KL,CIHLDG
7085.KL,LTKM
9296.KL,RCECAP
5315.KL,SKYWLD
8869.KL,PMETAL
5263.KL,SUNCON
6012.KL,MAXIS
0296.KL,HEGROUP
3043.KL,UTAMA
8079.KL,LEESK
0128.KL,FRONTKN
6262.KL,INNO
0005.KL,UCREST
5308.KL,SENFONG
0291.KL,CHB
0267.KL,ECA
0104.KL,GENETEC
7052.KL,PADINI
3026.KL,DLADY
5681.KL,PETDAG
1562.KL,SPTOTO
5139.KL,AEONCR
7174.KL,CAB
0259.KL,SNS
5199.KL,HIBISCS
5983.KL,MBMR
0245.KL,MNHLDG
5142.KL,WASCO
3053.KL,CCIB
0032.KL,REDTONE
7029.KL,MASTER
0227.KL,EFRAME
5008.KL,HARISON
5162.KL,VSTECS
7293.KL,YINSON
7237.KL,PWROOT
0256.KL,UMC
3301.KL,HLIND
9385.KL,LAYHONG
0270.KL,NATGATE
3689.KL,F&N
0263.KL,BETA
1163.KL,ALLIANZ
7084.KL,QL
4758.KL,ANCOMNY
3039.KL,RTSTECH
0159.KL,AMEDIA
3012.KL,BABA
0037.KL,RGB
7179.KL,LAGENDA
0040.KL,OPENSYS
8621.KL,LPI
6432.KL,APOLLO
0100.KL,ESCERAM
4081.KL,PMCORP
6633.KL,LHI
0192.KL,INTA
6033.KL,PETGAS
0097.KL,VITROX
5100.KL,BPPLAS
4731.KL,SCIENTX
0275.KL,OPPSTAR
5141.KL,DAYANG
0193.KL,KAB
4677.KL,YTL
0215.KL,SLVEST
0258.KL,AGMO
5133.KL,PENERGY
0249.KL,LGMS
2062.KL,HARBOUR
5227.KL,IGBREIT
7160.KL,PENTA
7134.KL,PWF
7246.KL,SIGN
5293.KL,AME
2143.KL,ECM
7107.KL,OFI
5307.KL,AMEREIT
5908.KL,DKSH
8273.KL,PPHB
7095.KL,PIE
0161.KL,HEXIND
4383.KL,JTIASA
1295.KL,PBBANK
5310.KL,KITACON
3069.KL,MFCB
1996.KL,KRETAM
5273.KL,CHINHIN
7087.KL,MAGNI
0229.KL,MOBILIA
7167.KL,ABLEGLOB
5257.KL,CARIMIN
5236.KL,MATRIX
9075.KL,THETA
7230.KL,TOMEI
5302.KL,ATECH
7115.KL,SKBSHUT
7161.KL,KERJAYA
0168.KL,BMGREEN
5125.KL,PANTECH
3009.KL,SEERS
7609.KL,AJIYA
5916.KL,MSC
3042.KL,PETRONM
5159.KL,YOCB
0166.KL,INARI
0201.KL,NOVA
5132.KL,DELEUM
7133.KL,ULICORP
0089.KL,TEXCYCL
0243.KL,CENGILD
5038.KL,KSL
5878.KL,KPJ
5173.KL,SYGROUP
2755.KL,FCW
5827.KL,OIB
5042.KL,TSRCAP
5140.KL,TASCO
0180.KL,KTC
2658.KL,AJI
5147.KL,SAMCHEM
5178.KL,INGENIEU
7007.KL,ARK
7089.KL,LIIHEN
0213.KL,MTAG
0196.KL,QES
7155.KL,SKPRES
5285.KL,SIMEPLT
0272.KL,TTVHB
5819.KL,HLBANK
5080.KL,POHKONG
0202.KL,RGTECH
3719.KL,PANAMY
1023.KL,CIMB
3034.KL,HAPSENG
9369.KL,TGL
5225.KL,IHH
0233.KL,PEKAT
1082.KL,HLFG
0191.KL,CABNET
7234.KL,MESB
7199.KL,KEINHIN
8362.KL,KYM
0012.KL,3A
7228.KL,T7GLOBAL
5276.KL,DANCO
1155.KL,MAYBANK
5160.KL,HOMERIZ
7170.KL,LFECORP
5311.KL,CEB
0058.KL,JCBNEXT
9687.KL,IDEAL
5280.KL,KIPREIT
0112.KL,MIKROMB
0207.KL,MESTRON
5084.KL,IBRACO
0053.KL,OSKVI
6211.KL,KIALIM
5077.KL,MAYBULK
1015.KL,AMBANK
6947.KL,CDB
0225.KL,SCGBHD
7178.KL,YSPSAH
5789.KL,LBS
7277.KL,DIALOG
5163.KL,SEB
7103.KL,SPRITZER
0223.KL,SAMAIDEN
9288.KL,BONIA
3913.KL,MUIPROP
2186.KL,KUCHAI
2488.KL,ABMB
7077.KL,KPPROP
1066.KL,RHBBANK
9792.KL,SEG
5212.KL,PAVREIT
0010.KL,IRIS
0262.KL,SUNVIEW
5300.KL,YENHER
5303.KL,SWIFT
0246.KL,CNERGEN
9822.KL,SAM
0257.KL,UNIQUE
7187.KL,CHGP
5289.KL,TECHBND
0149.KL,FIBON
0281.KL,DAY3
7595.KL,MGB
7210.KL,FM
3476.KL,KSENG
6459.KL,MNRB
7060.KL,NHFATT
0250.KL,YXPM
5012.KL,TAANN
0238.KL,CEKD
8443.KL,HIL
0237.KL,HAILY
5135.KL,SWKPLNT
0098.KL,AUMAS
5126.KL,SOP
7128.KL,CAMRES
7022.KL,GTRONIC
0160.KL,HHHCORP
0278.KL,EDELTEQ
7083.KL,ANALABS
8907.KL,EG
8605.KL,FIHB
6939.KL,FIAMMA
3565.KL,WCEHB
0011.KL,BTECH
7091.KL,UNIMECH
7225.KL,PA
0051.KL,CUSCAPI
8117.KL,PGF
3514.KL,MARCO
0242.KL,PPJACK
0178.KL,SEDANIA
9377.KL,FSBM
8125.KL,SCIPACK
0293.KL,KJTS
0299.KL,AGX
3042.KL,BVLH
0175.KL,HHRG
0001.KL,SCOMNET
7214.KL,ARANK
7148.KL,DPHARMA
5106.KL,AXREIT
7250.KL,UZMA
5606.KL,IGBB
0185.KL,HSSEB
7216.KL,KAWAN
8397.KL,TNLOGIS
6963.KL,VS
0236.KL,RAMSSOL
5152.KL,MBL
5398.KL,GAMUDA
7034.KL,TGUAN
5316.KL,MSTGOLF
7076.KL,CBIP
5036.KL,EDARAN
5053.KL,OSK
5278.KL,RHONEMA
1961.KL,IOICORP
5258.KL,BIMB
7031.KL,AMTEL
6017.KL,SHL
2305.KL,AYER
5272.KL,RANHILL
7105.KL,HCK
5228.KL,ELKDESA
0119.KL,APPASIA
7033.KL,HIGHTEC
5205.KL,SENDAI
5295.KL,INNATURE
7152.KL,JAYCORP
5130.KL,ATRIUM
7765.KL,RAPID
5029.KL,FAREAST
5182.KL,AVALAND
8419.KL,PANSAR
0239.KL,ECOMATE
5292.KL,UWC
7811.KL,SAPIND
7233.KL,DUFU
5235SS,KLCC
0247.KL,UNITRAD
7004.KL,MCEHLDG
0209.KL,AIMFLEX
5026.KL,MHC
0261.KL,COSMOS
0146.KL,JFTECH
5032.KL,BIPORT
5306.KL,FFB
5014.KL,AIRPORT
5176.KL,SUNREIT
6491.KL,KFIMA
7192.KL,GIIB
6483.KL,KENANGA
7108.KL,PERDANA
5113.KL,RSAWIT
5195.KL,CENSOF
7229.KL,FAVCO
2674.KL,ALCOM
0101.KL,TMCLIFE
9466.KL,KKB
0065.KL,EFORCE
0186.KL,PTRANS
5112.KL,THPLANT
